,Date,Time,City,Type
,2015-09-08,12:00:42,"Beverly
C",132 E UnkMedEmrg
,2015-09-08,12:28:47,Edgewater,101 E AbdmPain
,2015-09-08,11:32:52,Burl Twp,110 E ChestPain
,2015-09-08,13:52:59,Edgewater,132 E UnkMedEmrg
,2015-09-08,13:43:42,Burl Twp,112 E Convulsn
,2015-09-08,14:02:55,Edgewater,125 E Psychiat
,2015-09-08,14:46:07,Edgewater,11 F StrctrFire
,2015-09-08,17:20:28,Burl Twp,110 E ChestPain
,2015-09-08,19:52:30,Springfld,117 E Falls
,2015-09-08,21:07:30,Edgewater,121 E Hemrhage
,2015-09-08,20:50:22,Beverly,110 E ChestPain
,2015-09-08,21:50:15,Beverly,110 E ChestPain
,2015-09-08,22:43:56,Burl City,117 E Falls
,2015-09-09,00:22:45,Burl City,110 E ChestPain
,2015-09-09,06:33:27,Edgewater,132 E UnkMedEmrg
,2015-09-09,08:59:49,Edgewater,128 E Stroke
,2015-09-09,09:39:34,Burl City,132 E UnkMedEmrg
,2015-09-09,12:17:22,Burl Twp,106 E Breathin
,2015-09-09,13:04:29,Burl City,131 E Uncon
,2015-09-09,13:15:03,Burl City,106 E Breathin
,2015-09-09,13:20:19,Burl City,132 E UnkMedEmrg
,2015-09-09,13:12:49,Burl City,112 E Convulsn
,2015-09-09,14:32:26,Burl City,104 E AsltRape
,2015-09-09,14:29:03,Burl City,132 E UnkMedEmrg
,2015-09-09,17:01:39,Burl Twp,129 E AccInjry
,2015-09-09,16:57:18,Burl City,104 E AsltRape
,2015-09-09,19:06:19,Willingbor,104 E AsltRape
,2015-09-09,20:10:11,Burl Twp,117 E Falls
,2015-09-10,07:41:41,Burl City,110 E ChestPain
,2015-09-10,08:34:00,Burl City,124 E Pregnant
,2015-09-10,08:56:27,Burl Twp,117 E Falls
,2015-09-10,09:38:36,Burl City,129 E AccInjry
,2015-09-10,10:12:26,Burl Twp,125 E Psychiat
,2015-09-10,14:41:48,Edgewater,112 E Convulsn
,2015-09-10,15:49:01,Burl City,106 E Breathin
,2015-09-10,17:41:32,Edgewater,104 E AsltRape
,2015-09-10,22:28:42,Edgewater,110 E ChestPain
,2015-09-10,23:01:56,Burl City,132 E UnkMedEmrg
,2015-09-10,22:41:11,Burl City,124 E Pregnant
,2015-09-11,21:07:31,Westampton,129F E Mva/Fire
,2015-09-11,02:48:37,Burl City,121 E Hemrhage
,2015-09-11,08:17:53,Burl City,42 F Bomb Threa
,2015-09-11,09:12:19,Burl City,132 E UnkMedEmrg
,2015-09-11,10:14:59,Edgewater,132 E UnkMedEmrg
,2015-09-11,11:15:47,Burl Twp,112 E Convulsn
,2015-09-11,11:40:53,Edgewater,106 E Breathin
,2015-09-11,12:24:00,Florence,123 E Overdose
,2015-09-11,16:47:24,Burl City,129F E Mva/Fire
,2015-09-11,19:03:09,Edgewater,110 E ChestPain
,2015-09-11,22:17:27,Edgewater,104 E AsltRape
,2015-09-12,23:47:10,Edgewater,132 E UnkMedEmrg
,2015-09-12,23:35:35,Burl Twp,117 E Falls
,2015-09-12,08:51:50,Beverly,132 E UnkMedEmrg
,2015-09-12,:  :,Burl City,132 E UnkMedEmrg
,2015-09-12,10:37:56,Burl Twp,117 E Falls
,2015-09-12,12:15:04,Burl Twp,117 E Falls
,2015-09-12,12:36:45,Burl Twp,106 E Breathin
,2015-09-12,12:54:45,Burl Twp,106 E Breathin
,2015-09-12,19:31:44,Burl City,132 E UnkMedEmrg
,2015-09-12,21:15:56,Edgewater,110 E ChestPain
,2015-09-12,21:31:30,Burl Twp,132 E UnkMedEmrg
,2015-09-12,23:32:41,Burl City,104 E AsltRape
,2015-09-13,05:54:51,Burl Twp,132 E UnkMedEmrg
,2015-09-13,06:40:45,Burl City,101 E AbdmPain
,2015-09-13,08:02:51,Edgewater,132 E UnkMedEmrg
,2015-09-13,09:37:46,Burl Twp,113 E Diabetic
,2015-09-13,09:15:21,Burl Twp,106 E Breathin
,2015-09-13,14:11:17,Burl Twp,132 E UnkMedEmrg
,2015-09-13,14:56:31,Burl Twp,132 E UnkMedEmrg
,2015-09-13,15:05:18,Edgewater,101 E AbdmPain
,2015-09-13,19:17:37,Burl City,104 E AsltRape
,2015-09-13,19:44:10,Burl City,131 E Uncon
,2015-09-14,23:47:46,Burl Twp,117 E Falls
,2015-09-14,00:59:09,Burl Twp,132 E UnkMedEmrg
,2015-09-14,03:01:55,Burl City,110 E ChestPain
,2015-09-14,02:52:12,Burl City,134 E SpclAssn
,2015-09-14,05:05:19,Edgewater,129 E AccInjry
,2015-09-14,08:45:12,Florence,109 E Arrest
,2015-09-14,,Burl City,1284 P DisputLand
,2015-09-14,12:52:32,Burl Twp,106 E Breathin
,2015-09-14,15:11:27,Edgewater,105 E BackPain
,2015-09-14,15:58:03,Burl Twp,117 E Falls
,2015-09-14,15:53:26,Burl Twp,119 E Heart
,2015-09-14,17:16:30,Burl City,101 E AbdmPain
,2015-09-14,17:52:39,Burl Twp,106 E Breathin
,2015-09-14,18:15:47,Edgewater,131 E Uncon
,2015-09-14,20:33:30,Burl Twp,106 E Breathin
,2015-09-14,21:17:46,Florence,132 E UnkMedEmrg
,2015-09-15,23:49:34,Edgewater,125 E Psychiat
,2015-09-15,03:08:54,Burl Twp,113 E Diabetic
,2015-09-15,07:51:02,Burl City,128 E Stroke
,2015-09-15,08:41:05,Edgewater,117 E Falls
,2015-09-15,09:50:28,Burl Twp,106 E Breathin
,2015-09-15,12:58:17,Edgewater,104 E AsltRape
,2015-09-15,16:37:04,Burl Twp,129 E AccInjry
,2015-09-15,17:01:29,Burl Twp,106 E Breathin
,2015-09-15,16:41:34,Westampton,131 E Uncon
,2015-09-15,18:41:56,Burl Twp,113 E Diabetic
,2015-09-15,19:50:23,Burl City,125 E Psychiat
,2015-09-15,20:00:36,Edgewater,132 E UnkMedEmrg
,2015-09-15,20:38:51,Edgewater,121 E Hemrhage
,2015-09-15,20:16:31,Burl City,132 E UnkMedEmrg
,2015-09-15,22:03:46,Edgewater,101 E AbdmPain
,2015-09-15,23:48:22,Burl Twp,125 E Psychiat
,2015-09-16,23:21:28,Burl Twp,110 E ChestPain
,2015-09-16,23:16:11,Westampton,129F E Mva/Fire
,2015-09-16,01:46:23,Burl Twp,119 E Heart
,2015-09-16,05:18:37,Edgewater,132 E UnkMedEmrg
,2015-09-16,07:36:25,Edgewater,125 E Psychiat
,2015-09-16,10:30:57,Burl City,128 E Stroke
,2015-09-16,11:39:58,Willingbor,132 E UnkMedEmrg
,2015-09-16,13:06:18,Beverly,132 E UnkMedEmrg
,2015-09-16,14:23:09,Burl Twp,117 E Falls
,2015-09-16,16:14:22,Burl City,104 E AsltRape
,2015-09-16,19:36:39,Edgewater,125 E Psychiat
,2015-09-16,21:24:37,Willingbor,106 E Breathin
,2015-09-17,06:40:21,Beverly,117 E Falls
,2015-09-17,10:24:02,Edgewater,117 E Falls
,2015-09-17,10:19:20,Burl Twp,117 E Falls
,2015-09-17,09:36:44,Burl Twp,110 E ChestPain
,2015-09-17,10:41:54,Burl Twp,110 E ChestPain
,2015-09-17,11:35:41,Burl Twp,112 E Convulsn
,2015-09-17,11:59:29,Willingbor,119 E Heart
,2015-09-17,13:41:59,Burl City,117 E Falls
,2015-09-17,13:57:15,Edgewater,102 E AlergcReac
,2015-09-17,14:20:31,Burl Twp,129F E Mva/Fire
,2015-09-17,16:19:11,Burl Twp,125 E Psychiat
,2015-09-17,16:05:23,Burl Twp,117 E Falls
,2015-09-17,17:55:40,Burl City,132 E UnkMedEmrg
,2015-09-17,18:10:55,Burl City,132 E UnkMedEmrg
,2015-09-17,18:19:53,Edgewater,125 E Psychiat
,2015-09-17,19:34:39,Burl Twp,110 E ChestPain
,2015-09-17,19:58:11,Burl City,132 E UnkMedEmrg
,2015-09-17,19:11:00,Burl Twp,132 E UnkMedEmrg
,2015-09-17,20:54:10,Burl City,57 F Cover Sta
,2015-09-17,20:43:11,Burl City,132 E UnkMedEmrg
,2015-09-17,15:49:37,Burl City,132 E UnkMedEmrg
,2015-09-17,23:35:43,Burl City,132 E UnkMedEmrg
,2015-09-18,01:51:14,Edgewater,125 E Psychiat
,2015-09-18,05:22:23,Beverly,132 E UnkMedEmrg
,2015-09-18,10:12:34,Burl Twp,106 E Breathin
,2015-09-18,09:26:28,Beverly,131 E Uncon
,2015-09-18,10:14:34,Burl Twp,106 E Breathin
,2015-09-18,10:37:55,Burl City,125 E Psychiat
,2015-09-18,11:28:27,Burl Twp,131 E Uncon
,2015-09-18,11:27:36,Burl Twp,106 E Breathin
,2015-09-18,12:22:37,Burl City,132 E UnkMedEmrg
,2015-09-18,12:32:46,Burl Twp,106 E Breathin
,2015-09-18,13:35:08,Burl City,128 E Stroke
,2015-09-18,23:01:17,Beverly,117 E Falls
,2015-09-19,23:18:17,Edgewater,112 E Convulsn
,2015-09-19,01:30:16,Beverly,101 E AbdmPain
,2015-09-19,10:29:39,Burl City,105 E BackPain
,2015-09-19,11:36:30,Burl Twp,117 E Falls
,2015-09-19,13:43:43,Burl Twp,131 E Uncon
,2015-09-19,13:22:51,Burl Twp,128 E Stroke
,2015-09-19,14:01:36,Burl Twp,106 E Breathin
,2015-09-19,14:50:47,Burl City,106 E Breathin
,2015-09-19,16:27:08,Burl City,129 E AccInjry
,2015-09-19,17:50:08,Burl City,132 E UnkMedEmrg
,2015-09-19,18:31:38,Burl City,132 E UnkMedEmrg
,2015-09-19,20:06:58,Burl Twp,104 E AsltRape
,2015-09-19,21:37:22,Burl City,132 E UnkMedEmrg
,2015-09-19,22:30:23,Willingbor,109 E Arrest
,2015-09-19,23:07:01,Burl Twp,132 E UnkMedEmrg
,2015-09-20,00:19:24,Burl City,112 E Convulsn
,2015-09-20,05:04:36,Willingbor,110 E ChestPain
,2015-09-20,06:13:59,Edgewater,125 E Psychiat
,2015-09-20,06:34:44,Burl City,121 E Hemrhage
,2015-09-20,06:33:19,Burl Twp,106 E Breathin
,2015-09-20,11:08:47,Willingbor,106 E Breathin
,2015-09-20,13:43:55,Burl Twp,130 E Trauma
,2015-09-20,14:17:49,Burl City,132 E UnkMedEmrg
,2015-09-20,14:50:09,Edgewater,117 E Falls
,2015-09-20,15:00:40,Florence,117 E Falls
,2015-09-20,18:41:58,Burl City,121 E Hemrhage
,2015-09-20,:  :,Burl City,117 E Falls
,2015-09-20,18:58:01,Edgewater,125 E Psychiat
,2015-09-20,19:25:24,Edgewater,125 E Psychiat
,2015-09-20,:  :,Burl Twp,104 E AsltRape
,2015-09-20,19:59:03,Burl Twp,121 E Hemrhage
,2015-09-20,:  :,Burl City,134 E SpclAssn
,2015-09-20,22:54:30,Burl Twp,106 E Breathin
,2015-09-20,22:18:53,Burl Twp,110 E ChestPain
,2015-09-20,22:34:41,Burl Twp,132 E UnkMedEmrg
,2015-09-21,00:18:17,"Beverly
C",119 E Heart
,2015-09-21,00:26:51,Burl City,121 E Hemrhage
,2015-09-21,01:15:21,Beverly,106 E Breathin
,2015-09-21,02:45:35,Burl Twp,117 E Falls
,2015-09-21,04:29:34,Beverly,106 E Breathin
,2015-09-21,07:40:31,Burl Twp,125 E Psychiat
,2015-09-21,08:11:42,Burl Twp,132 E UnkMedEmrg
,2015-09-21,08:20:15,Burl Twp,106 E Breathin
,2015-09-21,09:16:59,Springfld,129F E Mva/Fire
,2015-09-21,09:31:36,Burl Twp,132 E UnkMedEmrg
,2015-09-21,11:49:34,Burl Twp,EMS E EMS Call
,2015-09-21,11:19:27,Burl Twp,110 E ChestPain
,2015-09-21,12:25:01,Burl City,110 E ChestPain
,2015-09-21,12:00:37,Willingbor,132 E UnkMedEmrg
,2015-09-21,13:13:17,Burl City,106 E Breathin
,2015-09-21,14:30:12,Burl City,121 E Hemrhage
,2015-09-21,15:14:37,Edgewater,129 E AccInjry
,2015-09-21,15:43:13,Burl Twp,112 E Convulsn
,2015-09-21,17:29:41,Beverly,128 E Stroke
,2015-09-21,17:16:01,Burl Twp,117 E Falls
,2015-09-21,22:26:59,Westampton,109 E Arrest
,2015-09-21,22:40:27,Burl Twp,131 E Uncon
,2015-09-22,08:48:50,Burl Twp,125 E Psychiat
,2015-09-22,10:44:59,Edgewater,117 E Falls
,2015-09-22,10:54:22,Burl City,132 E UnkMedEmrg
,2015-09-22,12:53:41,Burl Twp,132 E UnkMedEmrg
,2015-09-22,12:38:36,"NJTP

Ca",106 E Breathin
,2015-09-22,14:15:14,Burl City,132 E UnkMedEmrg
,2015-09-22,14:58:26,Edgewater,136 E NonEmerg
,2015-09-22,15:11:47,Burl City,117 E Falls
,2015-09-22,20:02:59,Burl City,117 E Falls
,2015-09-22,20:03:47,Burl Twp,132 E UnkMedEmrg
,2015-09-22,21:12:06,Burl City,125 E Psychiat
,2015-09-22,21:31:26,Edgewater,104 E AsltRape
,2015-09-23,23:52:22,Burl Twp,129 E AccInjry
,2015-09-23,01:38:40,Edgewater,109 E Arrest
,2015-09-23,08:34:47,Burl Twp,132 E UnkMedEmrg
,2015-09-23,09:11:55,Willingbor,128 E Stroke
,2015-09-23,10:40:07,Burl Twp,125 E Psychiat
,2015-09-23,14:56:27,Burl Twp,112 E Convulsn
,2015-09-23,16:05:25,Burl Twp,124 E Pregnant
,2015-09-23,16:22:39,Burl Twp,125 E Psychiat
,2015-09-23,17:15:58,Edgewater,104 E AsltRape
,2015-09-23,16:38:44,Burl City,132 E UnkMedEmrg
,2015-09-23,19:27:42,Edgewater,121 E Hemrhage
,2015-09-23,19:32:55,Edgewater,112 E Convulsn
,2015-09-24,02:40:28,Burl Twp,125 E Psychiat
,2015-09-24,03:44:02,Burl Twp,129 E AccInjry
,2015-09-24,08:36:16,Willingbor,110 E ChestPain
,2015-09-24,10:57:19,Burl Twp,106 E Breathin
,2015-09-24,12:06:50,Burl Twp,131 E Uncon
,2015-09-24,12:53:01,Burl Twp,112 E Convulsn
,2015-09-24,14:39:41,Burl City,129 E AccInjry
,2015-09-24,14:31:12,Burl City,106 E Breathin
,2015-09-24,18:59:11,Burl City,101 E AbdmPain
,2015-09-24,18:27:56,Burl Twp,112 E Convulsn
,2015-09-24,23:26:22,Burl Twp,132 E UnkMedEmrg
,2015-09-25,06:36:14,Burl Twp,117 E Falls
,2015-09-25,06:55:57,Edgewater,117 E Falls
,2015-09-25,14:29:42,Burl Twp,132 E UnkMedEmrg
,2015-09-25,18:58:30,Burl City,134 E SpclAssn
,2015-09-25,18:42:47,Burl Twp,131 E Uncon
,2015-09-25,19:46:45,Burl Twp,131 E Uncon
,2015-09-25,20:18:48,Florence,101 E AbdmPain
,2015-09-25,21:01:49,Burl Twp,125 E Psychiat
,2015-09-25,20:14:26,Edgewater,106 E Breathin
,2015-09-25,21:01:49,Burl Twp,125 E Psychiat
,2015-09-26,03:27:08,Burl Twp,125 E Psychiat
,2015-09-26,03:45:15,Florence,117 E Falls
,2015-09-26,04:23:22,Burl Twp,110 E ChestPain
,2015-09-26,08:04:19,Burl Twp,117 E Falls
,2015-09-26,10:09:19,Edgewater,124 E Pregnant
,2015-09-26,11:59:45,Burl Twp,101 E AbdmPain
,2015-09-26,13:07:51,Burl Twp,131 E Uncon
,2015-09-26,13:31:44,Burl City,105 E BackPain
,2015-09-26,14:16:21,Burl City,129 E AccInjry
,2015-09-26,14:29:45,Beverly,106 E Breathin
,2015-09-26,14:26:25,Edgewater,132 E UnkMedEmrg
,2015-09-26,15:42:42,Burl Twp,131 E Uncon
,2015-09-26,17:01:06,Burl Twp,132 E UnkMedEmrg
,2015-09-26,20:42:48,Burl City,EMS E EMS Call
,2015-09-26,20:42:48,Burl City,125 E Psychiat
,2015-09-27,23:23:36,Burl City,130 E Trauma
,2015-09-27,04:07:28,Edgewater,132 E UnkMedEmrg
,2015-09-27,05:15:12,Burl City,11 F StrctrFire
,2015-09-27,07:28:02,Burl Twp,117 E Falls
,2015-09-27,08:27:44,Beverly,118 E Headache
,2015-09-27,09:20:04,Burl City,105 E BackPain
,2015-09-27,10:06:02,Burl City,132 E UnkMedEmrg
,2015-09-27,11:28:51,Edgewater,110 E ChestPain
,2015-09-27,16:06:00,Edgewater,132 E UnkMedEmrg
,2015-09-27,19:20:17,Burl City,132 E UnkMedEmrg
,2015-09-28,09:07:16,Burl Twp,132 E UnkMedEmrg
,2015-09-28,09:58:01,Burl Twp,132 E UnkMedEmrg
,2015-09-28,11:44:45,Burl Twp,124 E Pregnant
,2015-09-28,15:24:13,Burl City,132 E UnkMedEmrg
,2015-09-28,16:17:41,Edgewater,131 E Uncon
,2015-09-28,17:03:55,Burl Twp,131 E Uncon
,2015-09-28,18:49:27,Willingbor,117 E Falls
,2015-09-28,18:45:26,Willingbor,110 E ChestPain
,2015-09-28,19:40:57,Burl Twp,125 E Psychiat
,2015-09-28,21:27:08,Willingbor,132 E UnkMedEmrg
,2015-09-28,22:10:37,Burl Twp,106 E Breathin
,2015-09-28,23:06:33,Burl City,132 E UnkMedEmrg
,2015-09-29,06:59:24,Burl Twp,132 E UnkMedEmrg
,2015-09-29,08:04:56,Burl City,132 E UnkMedEmrg
,2015-09-29,08:33:12,Burl Twp,119 E Heart
,2015-09-29,09:20:58,Edgewater,132 E UnkMedEmrg
,2015-09-29,09:16:24,Burl Twp,132 E UnkMedEmrg
,2015-09-29,10:14:49,Burl Twp,104 E AsltRape
,2015-09-29,14:06:16,Edgewater,131 E Uncon
,2015-09-29,14:54:08,Edgewater,125 E Psychiat
,2015-09-29,15:56:14,Burl Twp,101 E AbdmPain
,2015-09-29,15:50:14,Florence,129F E Mva/Fire
,2015-09-29,18:12:04,Burl City,132 E UnkMedEmrg
,2015-09-29,20:12:05,Burl Twp,121 E Hemrhage
,2015-09-29,20:46:14,Burl City,132 E UnkMedEmrg
,2015-09-29,21:13:59,Burl City,129 E AccInjry
,2015-09-29,21:35:56,Burl City,127 E Pentrwnd
,2015-09-30,01:27:48,Burl City,126 E SickPers
,2015-09-30,02:01:34,Burl Twp,117 E Falls
,2015-09-30,02:24:44,Burl Twp,121 E Hemrhage
,2015-09-30,05:06:02,Burl Twp,106 E Breathin
,2015-09-30,05:46:00,Burl Twp,109 E Arrest
,2015-09-30,09:42:43,Burl Twp,117 E Falls
,2015-09-30,09:55:36,Burl City,101 E AbdmPain
,2015-09-30,10:15:39,Burl Twp,110 E ChestPain
,2015-09-30,11:09:48,Burl Twp,132 E UnkMedEmrg
,2015-09-30,13:13:24,Edgewater,117 E Falls
,2015-09-30,12:56:36,Edgewater,110 E ChestPain
,2015-09-30,15:24:33,Burl Twp,132 E UnkMedEmrg
,2015-09-30,15:36:01,Burl Twp,125 E Psychiat
,2015-09-30,16:25:59,Florence,112 E Convulsn
,2015-09-30,18:55:55,Burl Twp,109 E Arrest
,2015-09-30,18:57:09,Burl City,126 E SickPers
,2015-09-30,21:23:11,Florence,104 E AsltRape
,2015-09-30,22:47:23,Beverly,101 E AbdmPain
,2015-10-01,23:36:38,Burl City,132 E UnkMedEmrg
,2015-10-01,01:01:31,Burl City,132 E UnkMedEmrg
,2015-10-01,07:21:26,Burl City,129F E Mva/Fire
,2015-10-01,08:03:57,Burl Twp,129F E Mva/Fire
,2015-10-01,08:35:38,Burl City,131 E Uncon
,2015-10-01,16:11:12,Burl City,129 E AccInjry
,2015-10-01,16:19:58,Burl City,129F E Mva/Fire
,2015-10-01,18:17:13,Edgewater,105 E BackPain
,2015-10-01,18:44:49,Edgewater,125 E Psychiat
,2015-10-01,19:09:45,Burl Twp,131 E Uncon
,2015-10-01,20:13:15,Burl Twp,106 E Breathin
,2015-10-01,21:28:26,Edgewater,117 E Falls
,2015-10-01,22:07:02,Burl Twp,128 E Stroke
,2015-10-01,22:19:02,Burl City,109 E Arrest
,2015-10-02,02:02:45,Burl City,132 E UnkMedEmrg
,2015-10-02,02:30:17,Edgewater,117 E Falls
,2015-10-02,04:18:49,Burl City,105 E BackPain
,2015-10-02,06:05:33,Burl City,112 E Convulsn
,2015-10-02,06:31:34,Beverly,110 E ChestPain
,2015-10-02,08:52:15,Edgewater,125 E Psychiat
,2015-10-02,08:34:41,Willingbor,132 E UnkMedEmrg
,2015-10-02,09:29:09,Burl Twp,129 E AccInjry
,2015-10-02,08:59:51,Burl City,106 E Breathin
,2015-10-02,09:52:32,Burl City,117 E Falls
,2015-10-02,11:57:04,Burl Twp,117 E Falls
,2015-10-02,13:01:05,Burl Twp,106 E Breathin
,2015-10-02,14:10:29,Edgewater,117 E Falls
,2015-10-02,17:05:41,Lumberton,55 F Asst Polic
,2015-10-02,17:06:00,Burl City,112 E Convulsn
,2015-10-02,18:26:54,Edgewater,117 E Falls
,2015-10-02,19:44:36,Burl City,132 E UnkMedEmrg
,2015-10-02,19:01:29,Burl Twp,113 E Diabetic
,2015-10-02,20:15:07,Burl City,132 E UnkMedEmrg
,2015-10-03,23:48:38,Burl Twp,134 E SpclAssn
,2015-10-03,01:37:45,Edgewater,125 E Psychiat
,2015-10-03,02:40:22,Burl City,101 E AbdmPain
,2015-10-03,12:28:53,Burl Twp,128 E Stroke
,2015-10-03,12:29:35,Burl City,132 E UnkMedEmrg
,2015-10-03,12:53:05,Westampton,117 E Falls
,2015-10-03,15:33:55,Burl City,129 E AccInjry
,2015-10-03,16:48:54,Burl Twp,106 E Breathin
,2015-10-03,16:13:45,Burl City,132 E UnkMedEmrg
,2015-10-03,17:01:42,Burl City,117 E Falls
,2015-10-03,21:48:56,Burl Twp,112 E Convulsn
,2015-10-03,21:25:58,Burl Twp,132 E UnkMedEmrg
,2015-10-03,21:52:15,Burl City,132 E UnkMedEmrg
,2015-10-04,00:32:11,Willingbor,110 E ChestPain
,2015-10-04,02:47:57,Burl Twp,110 E ChestPain
,2015-10-04,12:43:54,Burl City,132 E UnkMedEmrg
,2015-10-04,,Riverton,129 E AccInjry
,2015-10-04,14:14:34,Edgewater,117 E Falls
,2015-10-04,16:05:59,Burl Twp,113 E Diabetic
,2015-10-04,19:00:05,Burl City,106 E Breathin
,2015-10-05,23:47:43,Burl City,105 E BackPain
,2015-10-05,22:58:38,Burl Twp,133 E TrfcEntp
,2015-10-05,03:09:55,Burl City,110 E ChestPain
,2015-10-05,07:08:34,Burl Twp,113 E Diabetic
,2015-10-05,07:36:38,Burl Twp,112 E Convulsn
,2015-10-05,07:09:08,Burl Twp,112 E Convulsn
,2015-10-05,09:48:51,Burl Twp,132 E UnkMedEmrg
,2015-10-05,11:02:46,Edgewater,132 E UnkMedEmrg
